name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Sam Bennett,Madisonville,G,0,,2018,,,,,145502,https://on3static.com/uploads/assets/2/178/178002.png,https://www.on3.com/db/sam-bennett-179447/,college_mens_golf
Nick Dunlap,Huntsville,G,0,,2022,,,,,72165,https://on3static.com/uploads/assets/333/220/220333.png,https://www.on3.com/db/nick-dunlap-237497/,college_mens_golf
Tommy Morrison,George Washington University Online High School,G,0,,2022,,,,,8180,https://on3static.com/uploads/assets/811/163/163811.png,https://www.on3.com/db/tommy-morrison-178231/,college_mens_golf
Matthew Kress,Bellarmine Prep,G,0,,2021,,,,,840,https://on3static.com/uploads/assets/219/147/147219.png,https://www.on3.com/db/matthew-kress-176455/,college_mens_golf
Owen Avrit,Arroyo Grande,G,0,,2019,,,,,1459,https://on3static.com/uploads/assets/209/147/147209.jpg,https://www.on3.com/db/owen-avrit-176453/,college_mens_golf
Cooper Smith,Freedom,G,0,,2020,,,,,1146,https://on3static.com/uploads/assets/420/303/303420.png,https://www.on3.com/db/cooper-smith-241586/,college_mens_golf
Graham Moody,Mountain View,G,0,,2021,,,,,148,https://on3static.com/uploads/assets/224/147/147224.jpg,https://www.on3.com/db/graham-moody-176457/,college_mens_golf
Austyn Reily,Pottsboro,G,0,,2019,,,,,1277,https://on3static.com/uploads/assets/83/222/222083.png,https://www.on3.com/db/austyn-reily-237605/,college_mens_golf
